-71.0465	-7.2347	-55.1885
-70.3449	-7.1324	-55.5393
-70.5203	-7.1909	-54.1508
-70.3888	-6.7232	-54.6185
-70.2134	-6.7524	-55.2178
-70.6372	-7.2640	-55.3493
-70.0380	-6.7670	-55.0131
-70.7395	-6.9863	-55.0278
-70.1988	-7.4393	-54.8231
-71.4265	-7.3955	-55.1301
-76.0158	-4.2824	-52.3093
-78.5297	-3.2008	-47.6177
-82.8120	2.2947	-45.7615
-81.0289	7.5417	-42.1806
-77.8281	12.8764	-39.7252
-68.7372	13.7679	-42.5168
-77.0389	4.9255	-51.0377
-81.6720	-2.1046	-50.5700
-84.3759	-6.8547	-47.5153
-88.3952	-5.0424	-38.4537
-86.1152	0.1900	-26.8050
-77.3604	-1.7100	-16.1941
-69.8334	-12.5987	-12.1017
-69.8188	-19.1172	-14.8933
-64.8495	-24.7881	-19.1611
-54.4431	-27.5943	-37.0798
-54.3701	-19.2488	-49.4738
-61.2248	-17.6118	-54.1216
-67.1295	-20.1111	-51.8708
-64.6302	-25.2265	-47.1207
-63.8994	-29.9182	-29.8305
-69.1757	-27.1558	-25.1096
-82.6659	-16.1356	-19.7311
-81.5843	-18.3280	-21.3680
-78.1350	-24.1596	-27.4773
-76.9804	-26.5273	-33.2651
-79.7720	-24.2619	-37.9421
-88.2490	-16.3403	-36.0567
-89.8129	-4.5016	-30.8243
-89.3598	3.0400	-29.7574
-88.8921	3.6977	-42.9553
-71.7626	-0.4823	-57.9655
-48.7431	-4.1947	-49.9123
-45.1330	-1.6369	-43.0284
-47.9538	6.1678	-37.0506
-50.7162	7.6293	-30.6635
-53.7270	8.5794	-40.8214
-54.7793	6.1970	-46.2438
-52.8939	-0.1608	-50.3069
-56.3432	-7.9509	-53.9024
-57.9947	-12.7448	-54.5893
-57.7170	-10.6109	-55.4955
-53.3616	-11.6048	-53.8585
-48.0269	-17.1733	-47.3253
-43.9053	-19.8480	-36.4513
-44.3730	-17.2903	-24.4958
-47.6469	-15.6972	-19.3949
-47.3546	-12.4087	-19.2049
-47.6761	-5.0862	-19.7165
-51.5639	3.0400	-18.2695
-55.8462	0.8623	-13.0810
-55.4224	-3.8585	-12.5402
-48.4361	-10.7132	-16.9103
-45.3522	-19.8480	-26.4250
-51.1546	-25.5189	-41.1722
-66.7495	-27.4920	-45.4107
-82.4174	-21.8796	-38.1906
-85.9836	-14.7618	-26.0742
-85.6475	-16.0333	-26.4835
-83.2797	-17.0126	-45.3084
-68.9126	-6.8693	-56.5770
-60.7132	-4.8816	-54.0485
-61.3709	-13.4171	-51.6662
-71.4265	-20.4619	-45.8492
-78.5297	-19.7165	-35.7352
-81.1459	-16.8372	-36.4659
-72.0696	-17.8457	-42.0783
-70.7395	-10.2894	-47.2084
-60.9471	-5.4370	-51.7393
-51.7246	-5.1593	-49.8685
-48.2900	-4.0631	-45.5861
-51.6077	-2.5431	-49.5177
-57.3370	-0.4239	-54.1508
-78.1643	3.2154	-53.2447
-85.2821	12.8617	-35.4575
-72.7711	18.3280	-26.8781
-63.3148	17.6995	-22.7711
-60.4063	18.4741	-34.3028
-47.1353	5.0716	-44.5045
-39.9006	-8.0824	-36.6706
-40.6022	-10.4063	-25.9281
-43.8614	-12.1602	-19.7311
-42.1660	-13.4610	-21.8650
-39.3014	-8.0970	-31.5551
-41.1283	-16.0918	-21.8503
-41.3914	-22.3473	-31.1020
-39.8129	-22.8588	-34.8728
-41.8737	-26.9512	-28.4274
-49.7515	-23.8965	-13.0956
-59.7778	-24.7881	-12.9640
-65.3318	-28.0912	-17.0564
-58.7840	-20.3888	-13.7094
-54.9985	-10.0555	-13.1394
-52.3385	1.1400	-16.5741
-45.6738	3.2593	-30.5320
-41.7276	-8.2871	-40.3537
-43.2184	-21.1780	-39.0529
-57.2347	-32.8559	-34.6975
-74.9050	-32.2859	-30.5320
-85.1652	-24.0281	-30.3128
-92.7799	-12.5840	-39.4183
-94.4461	-7.9363	-41.2745
-94.0368	2.4700	-25.3142
-77.0096	-13.5779	-9.4417
-67.3487	-25.0365	-13.7533
-77.0973	-10.5232	-11.8825
-89.3452	-4.4431	-21.6457
-92.7799	-11.6633	-30.4151
